Term_Original,Label,Reason,LLM_Response,Error
1-brsa-491-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
linguado,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-944a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
pre,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
sb-e1,POÇO,Not recognized by LLM,UNKNOWN_TERM,
salta,BACIA,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-891a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
jiquia,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
8-buz-26-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1023-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"stones,",ROCHA,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1243-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"campodetupi,",CAMPO,Not recognized by LLM,UNKNOWN_TERM,
carbonatos.,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
bm-s-24,POÇO,Not recognized by LLM,UNKNOWN_TERM,
epinephelus.,FOSSEIS,Not recognized by LLM,UNKNOWN_TERM,
3brsa-1342a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
sapinhoa,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"8-buz-21d-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-861-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
lapa,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
creta,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
ballik,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
2-anp-1-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-brsa-1159-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2-anp1-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-944-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"velha,",UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
1-brsa-886-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1172-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-brsa-1284-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-eqnr-1-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2-anp-2a-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2seq5,POÇO,Not recognized by LLM,UNKNOWN_TERM,
formac,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
leques,PALEOAMBIENTE,Not recognized by LLM,UNKNOWN_TERM,
"pampo,",CAMPO,Not recognized by LLM,UNKNOWN_TERM,
oogonia,FOSSEIS,Not recognized by LLM,UNKNOWN_TERM,
neo-cretaceous,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
of,BACIA,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1053rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
eodanian,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
8-buz-28da-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8buz-28da-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8-buz-21d-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8buz-26-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
camposdelapa,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"material,",NAO_CONSOLID,Not recognized by LLM,UNKNOWN_TERM,
cameia,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
baciadoespi,BACIA,Not recognized by LLM,UNKNOWN_TERM,
santo.,BACIA,Not recognized by LLM,UNKNOWN_TERM,
continental-,PALEOAMBIENTE,Not recognized by LLM,UNKNOWN_TERM,
mato,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
7-lpa-1d-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
1brsa-491-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
1-brsa491-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
superior.,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
nangnuan,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
quinas,FOSSEIS,Not recognized by LLM,UNKNOWN_TERM,
mero,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
frade,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
baciadesalta,BACIA,Not recognized by LLM,UNKNOWN_TERM,
"crustone,",ROCHA,Not recognized by LLM,UNKNOWN_TERM,
ticas,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
calcarias,NAO_CONSOLID,Not recognized by LLM,UNKNOWN_TERM,
"namibe,",BACIA,Not recognized by LLM,UNKNOWN_TERM,
"kwanza,",BACIA,Not recognized by LLM,UNKNOWN_TERM,
congo,BACIA,Not recognized by LLM,UNKNOWN_TERM,
brsa-944-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2anp1,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"9-brsa-1159-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa1053-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1195,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa944-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-944a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-brsa1159-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-944arjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-944-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
bms-22,POÇO,Not recognized by LLM,UNKNOWN_TERM,
anp-1,POÇO,Not recognized by LLM,UNKNOWN_TERM,
retiro,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
spiculessubae,FOSSEIS,Not recognized by LLM,UNKNOWN_TERM,
"sbe1,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
bve-200,POÇO,Not recognized by LLM,UNKNOWN_TERM,
macabu,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
baciade,BACIA,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-891a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
4-brsa-1226rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
4-brsa1226-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"9-brsa-1212-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"4-brsa-1284-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1171d-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"8-atp-4d-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1243-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"1-brsa-1146-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-atp-3-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8-atp-4d-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8-atp-5-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-bbg-1d-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
8-sbbg-1-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
sf-2,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1284-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1284rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3brsa-1181d-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3brsa-1172-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
campodesururu.bachelor,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
pampo,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"santo,",BACIA,Not recognized by LLM,UNKNOWN_TERM,
petrobrasia,FOSSEIS,Not recognized by LLM,UNKNOWN_TERM,
baciadoreco,BACIA,Not recognized by LLM,UNKNOWN_TERM,
ncavotucano.,BACIA,Not recognized by LLM,UNKNOWN_TERM,
rainstones,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
crinkly,ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
3-eq,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-eqnr-3-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-eqnr-1-sps.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2-anp-2a,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1339a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"brsa-1339a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa1322-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1345-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1255-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1343-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
brsa-1267a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1267arjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1305a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1310rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1370-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-esso-3-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-esso-5-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
1-brsa-757-sps,POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-buz-4-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
9-buz-4-rjs.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"9-buz-4-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
gato,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"mato,",CAMPO,Not recognized by LLM,UNKNOWN_TERM,
3-rjs-625,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2seq5.,POÇO,Not recognized by LLM,UNKNOWN_TERM,
1seq1,POÇO,Not recognized by LLM,UNKNOWN_TERM,
2seq1,POÇO,Not recognized by LLM,UNKNOWN_TERM,
phitsanulok,BACIA,Not recognized by LLM,UNKNOWN_TERM,
campodetupi,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
eocreta,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
zona,ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
"falha,",ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
lamitos,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
"raso,",PALEOAMBIENTE,Not recognized by LLM,UNKNOWN_TERM,
velha.,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
"taquidrita,",ROCHA,,,504 Deadline Exceeded
margas,ROCHA,,,504 Deadline Exceeded
cisalhamento,ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
raso,PALEOAMBIENTE,Not recognized by LLM,UNKNOWN_TERM,
argilominerais,MINERAIS,Not recognized by LLM,UNKNOWN_TERM,
magnesianas,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
embasamento.,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
badejo,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"trilha,",CAMPO,Not recognized by LLM,UNKNOWN_TERM,
campodepampo.,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
campodemero,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
"badejopampo,",CAMPO,Not recognized by LLM,UNKNOWN_TERM,
