Term,Category,Reasoning,Original_Label,NLD
dolomite,Geological Object,"The NLD describes dolomite as a carbonate mineral that crystallizes, which aligns with the definition and examples of a Geological Object, specifically a crystal.",MINERAIS | ROCHA,"Dolomite is a carbonate mineral that is composed of calcium magnesium carbonate (CaMg(CO₃)₂), crystallizes in the trigonal system, and is a common constituent of sedimentary rocks. It is also the predominant mineral forming the sedimentary rock known as dolostone (or dolomite rock), which is a significant reservoir rock in many oil and gas plays."
falha,Geological Structure,"The NLD explicitly states that a fault is a 'estrutura geológica' (geological structure), and 'fault' is provided as an example in the GeoCore definition of Geological Structure.",ESTRUTURA_FISICA,"Uma falha é uma estrutura geológica que representa uma fratura ou zona de fraturas em rochas, formada por esforços tectônicos que causam deslocamento significativo de blocos rochosos. Em reservatórios carbonáticos do Pré-Sal, falhas podem atuar como barreiras de fluxo, caminhos de migração de fluidos ou zonas de acumulação, impactando a compartimentação e a produtividade."
packstone,Sedimentary Rock,"The NLD defines packstone as a 'carbonate rock' with a 'grain-supported texture' and 'micrite (mud matrix)', which directly matches the definition of Sedimentary Rock.",ROCHA,"A packstone is a carbonate rock that is characterized by a grain-supported texture, where the grains are in contact, and the rock contains more than 10% micrite (mud matrix)."
bacia de santos,Depositional System,"The NLD describes a large sedimentary basin as a 'petroleum province' characterized by various geological features, which aligns with a Depositional System being an aggregate of linked Depositional Units.",BACIA,"A Bacia de Santos is a large offshore sedimentary basin that extends along the southeastern Brazilian continental margin, from the state of Rio de Janeiro to Santa Catarina, and is a major petroleum province characterized by thick evaporite sequences and highly productive Pre-Salt carbonate reservoirs formed in lacustrine and marine environments."
claystone,Sedimentary Rock,The NLD explicitly defines claystone as a 'sedimentary rock' predominantly composed of clay-sized particles and minerals.,ROCHA,"A claystone is a sedimentary rock that is predominantly composed of clay-sized particles (less than 1/256 mm) and clay minerals, and is characterized by its non-fissile nature."
peloid,Geological Object,"The NLD describes a peloid as a discrete 'carbonate grain' with its own identity and origin, which aligns with the definition of a Geological Object as a rigid, identifiable entity generated by a geological process.",FOSSEIS | NAO_CONSOLID,"A peloid is a carbonate grain that is typically sand to silt-sized, rounded to ovoid, and lacks distinctive internal structure, often originating as a fecal pellet or through micritization within unconsolidated sediments."
mollusk,object,"The NLD defines a mollusk as an 'invertebrate animal,' which is explicitly given as an example of an 'object' in BFO.",FOSSEIS,"A mollusk is an invertebrate animal that belongs to the phylum Mollusca, characterized by a soft, unsegmented body, typically enclosed in a calcareous shell, and is commonly preserved as a fossil in sedimentary rocks, providing valuable data for biostratigraphy and paleoenvironmental reconstruction in geological studies."
conglomerate,Sedimentary Rock,"The NLD explicitly defines a conglomerate as a 'clastic sedimentary rock', which directly matches the definition of Sedimentary Rock in GeoReservoir.",ROCHA,"A conglomerate is a clastic sedimentary rock that is characterized by rounded to sub-rounded clasts larger than 2 mm (gravel-sized) set within a finer-grained matrix of sand, silt, or clay, and cemented together."
siltstone,Sedimentary Rock,The NLD explicitly defines siltstone as a 'clastic sedimentary rock' composed of sedimentary particles.,ROCHA,"Siltstone is a clastic sedimentary rock that is predominantly composed of silt-sized particles, which are finer than sand but coarser than clay."
laminite,Sedimentary Rock,The NLD explicitly defines a laminite as 'a sedimentary rock'.,ROCHA,"A laminite is a sedimentary rock that is characterized by fine, parallel layering (laminae) typically less than a few millimeters thick. These laminae commonly result from rhythmic deposition in low-energy, anoxic, or hypersaline environments. They are often formed by microbial mats in Pre-Salt carbonate systems due to the absence of bioturbation."
boundstone,Sedimentary Rock,"The NLD explicitly defines boundstone as a 'carbonate rock,' which is a specific type of Sedimentary Rock.",ROCHA,"Boundstone is a carbonate rock that consists of original components that were bound together *in situ* during deposition, typically by the growth of sessile organisms."
talc,Geological Object,"Talc is described as a mineral, which is a rigid entity like a crystal, formed by geological processes, fitting the definition of a Geological Object.",MINERAIS,"Talc is a mineral that is a hydrous magnesium silicate with the chemical formula Mg3Si4O10(OH)2. It is characterized by its extreme softness (Mohs hardness of 1), a greasy feel, and a typically platy habit. It commonly forms as an alteration product of magnesium-rich silicates, such as olivine and pyroxene, in metamorphic rocks."
Maastrichtian,Geological Time Interval,"The NLD defines Maastrichtian as a chronostratigraphic stage spanning a specific duration, which aligns with the definition of a Geological Time Interval.",UNIDADE_CRONO,"Maastrichtian is a chronostratigraphic stage that represents the uppermost division of the Late Cretaceous epoch, spanning from approximately 72.1 to 66.0 million years ago and immediately preceding the Paleocene Danian stage."
calcite,Geological Object,"The NLD describes calcite as a mineral that crystallizes, and 'a crystal' is explicitly listed as an example of a Geological Object.",MINERAIS,"Calcite is a mineral that is a calcium carbonate (CaCO3), crystallizing in the trigonal system and serving as the primary constituent of limestones, marbles, and other carbonate rocks."
campos,Geological Object,"The Campos Basin is described as a sedimentary basin, which is a large-scale geological entity formed by geological processes, fitting the definition of a rigid entity with identity and unity.",BACIA,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, characterized by its significant Pre-Salt carbonate reservoirs and being a major oil and gas producing province."
quartz,Geological Object,"The NLD describes quartz as a mineral, and 'a crystal' is explicitly given as an example of a Geological Object.",MINERAIS,"Quartz is a silicate mineral that is composed of silicon and oxygen atoms, forming a continuous framework of SiO4 tetrahedra with a chemical formula of SiO2, and is one of the most abundant minerals in the Earth's crust, characterized by its hardness and resistance to weathering."
Campos Basin,Geological Object,"The NLD describes the Campos Basin as a 'sedimentary basin' that was 'formed during' specific geological processes, fitting the definition of a rigid, identifiable entity generated by geological processes.",BACIA,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, formed during the Mesozoic rifting and Cenozoic sag phases of the South Atlantic opening. It is a prolific hydrocarbon province, hosting significant oil and gas accumulations in both post-salt turbidites and pre-salt carbonate reservoirs."
carbonates,Sedimentary Rock,The NLD explicitly defines carbonates as 'sedimentary rocks' primarily composed of carbonate minerals.,ROCHA,"Carbonates are sedimentary rocks that are primarily composed of carbonate minerals, such as calcite (CaCO3) and dolomite (CaMg(CO3)2), and are crucial reservoir rocks in the Brazilian Pre-Salt, often exhibiting complex diagenetic overprints."
Barra Velha,Depositional Unit,"The Barra Velha Formation is described as a lithostratigraphic unit comprising sedimentary rocks, which aligns with the definition of a mappable Sedimentary Geological Object.",CAMPO | UNIDADE_LITO,"**Barra Velha (CAMPO):** The Barra Velha Field is an oil and gas field that is located in the Santos Basin, offshore Brazil, within the Pre-Salt play, and is characterized by its highly productive carbonate reservoirs.

**Barra Velha (UNIDADE_LITO):** The Barra Velha Formation is a lithostratigraphic unit that comprises the main reservoir rocks of the Brazilian Pre-Salt play, consisting predominantly of lacustrine microbial carbonates (stromatolites and thrombolites) deposited during the Aptian in the Santos and Campos Basins."
Bacia de Santos,Geological Object,"The NLD describes 'Bacia de Santos' as a large, identifiable 'sedimentary basin' which is a rigid entity formed by geological processes, fitting the definition of a Geological Object.",BACIA,"Bacia de Santos is a sedimentary basin that is located offshore southeastern Brazil, extending from the state of Rio de Janeiro to Santa Catarina, and is a major petroleum province characterized by prolific Pre-Salt carbonate reservoirs sealed by a thick evaporite layer."
Barremian,Geological Time Interval,"The NLD describes 'Barremian' as a chronostratigraphic stage spanning a specific time range, which directly aligns with the definition of a Geological Time Interval.",UNIDADE_CRONO,"Barremian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, spanning from approximately 129.4 to 125.0 million years ago. It is preceded by the Hauterivian and succeeded by the Aptian stages."
carbonates,Sedimentary Rock,The NLD explicitly defines carbonates as a 'type of sedimentary rock'.,ROCHA,"Carbonates are a type of sedimentary rock that is predominantly composed of carbonate minerals, such as calcite (CaCO3) and dolomite (CaMg(CO3)2), and typically forms through biogenic processes or chemical precipitation from aqueous solutions."
pre-Alagoas,Geological Time Interval,The NLD explicitly defines 'Pre-Alagoas' as a 'chronostratigraphic unit that represents the time interval'.,UNIDADE_CRONO,"Pre-Alagoas is a chronostratigraphic unit that represents the time interval preceding the Alagoas Stage of the Early Cretaceous. In the context of the Brazilian Pre-Salt, this unit encompasses the syn-rift and early post-rift depositional phases, including the basal lacustrine and evaporitic successions. It marks the initial rifting and early basin development of the South Atlantic margin."
grainstones,Sedimentary Rock,"The NLD explicitly defines grainstones as a 'type of carbonate rock' characterized by its composition of 'carbonate grains', which aligns directly with the definition of Sedimentary Rock.",ROCHA,"Grainstones are a type of carbonate rock that is characterized by being grain-supported and containing less than 10% micrite (carbonate mud). They are predominantly composed of carbonate grains (allochems) such as ooids, peloids, bioclasts, and intraclasts, typically deposited in high-energy environments."
quartz,Geological Object,"The NLD describes quartz as a mineral that crystallizes, and 'a crystal' is explicitly listed as an example of a Geological Object.",MINERAIS,"Quartz is a mineral that is composed of silicon dioxide (SiO2) and crystallizes in the trigonal system. It is one of the most abundant minerals in the Earth's crust, characterized by a vitreous luster and a hardness of 7 on the Mohs scale."
limestone,Sedimentary Rock,The NLD explicitly defines limestone as a 'sedimentary rock' primarily composed of calcium carbonate.,ROCHA,"Limestone is a sedimentary rock that is primarily composed of calcium carbonate (CaCO3), typically formed from the accumulation of skeletal fragments of marine organisms or by chemical precipitation."
laminations,Sedimentary Structure,"The NLD explicitly defines laminations as a 'primary sedimentary structure' consisting of 'layers within a rock', which aligns with the definition of Sedimentary Structure as a pattern of internal arrangement.",ESTRUTURA_FISICA,"A lamination is a primary sedimentary structure that consists of very thin, parallel or sub-parallel layers within a rock, typically less than 1 cm thick, reflecting subtle variations in sediment composition, grain size, or depositional conditions."
mudstones,Sedimentary Rock,The NLD explicitly defines mudstones as a 'type of fine-grained clastic sedimentary rock'.,ROCHA,Mudstones are a type of fine-grained clastic sedimentary rock that is composed predominantly of clay and silt-sized particles and lacks the fissility characteristic of shales.
micrite,Earth Material,"Micrite is described as a microcrystalline calcium carbonate that constitutes the matrix of limestones, fitting the definition of a solid, natural amount of matter.",MINERAIS,"Micrite is a microcrystalline calcium carbonate that constitutes the fine-grained matrix of many limestones, composed of calcite or aragonite crystals typically less than 4 micrometers in diameter."
alluvial,spatiotemporal region,"The NLD defines an 'alluvial paleoenvironment' as a 'terrestrial depositional setting' characterized by processes occurring over time, which aligns with the BFO definition of a spatiotemporal region.",PALEOAMBIENTE,"An alluvial paleoenvironment is a terrestrial depositional setting that is characterized by the accumulation of clastic sediments transported and deposited by flowing water, such as rivers, streams, and associated floodplains, often forming fan-shaped deposits at the base of uplands."
grainstones,Sedimentary Rock,"The NLD explicitly defines grainstones as 'a type of carbonate rock,' which is a specific kind of Sedimentary Rock.",ROCHA,"Grainstones are a type of carbonate rock that is characterized by being grain-supported, lacking micritic mud, and having intergranular pore spaces filled with sparry calcite cement or remaining as open pores."
packstones,Sedimentary Rock,"The NLD defines packstones as a 'type of carbonate rock,' which is a specific kind of sedimentary rock.",ROCHA,"Packstones are a type of carbonate rock that is grain-supported, where the framework of grains is in contact, but contains a significant proportion of mud matrix (typically greater than 10%)."
halite,Sedimentary Rock,"The NLD explicitly defines halite as an 'evaporite rock,' which is a type of sedimentary rock.",ROCHA,"Halite is an evaporite rock that is primarily composed of the mineral sodium chloride (NaCl), typically forming extensive bedded deposits."
rudstones,Sedimentary Rock,"The NLD defines rudstone as a 'carbonate rock' with a 'grain-supported fabric' and 'grains,' which directly matches the definition of a Sedimentary Rock.",ROCHA,"A rudstone is a carbonate rock that exhibits a grain-supported fabric, where at least 10% of the rock volume consists of grains larger than 2 mm in diameter."
sandstones,Sedimentary Rock,"The NLD explicitly defines sandstones as a 'clastic sedimentary rock' composed of 'sand-sized mineral grains or rock fragments,' which directly matches the definition of Sedimentary Rock.",ROCHA,"Sandstones are a clastic sedimentary rock that is primarily composed of sand-sized (0.0625 to 2 mm) mineral grains or rock fragments, typically quartz, feldspar, or lithic fragments, cemented by a matrix of finer material or chemical precipitates, and formed through the lithification of sand in various depositional environments."
pyrite,Geological Object,"Pyrite is described as a mineral with a crystal system, and 'a crystal' is explicitly given as an example of a Geological Object.",MINERAIS | ROCHA,"Pyrite is a mineral that is an iron disulfide (FeS2) characterized by its brass-yellow color, metallic luster, and cubic crystal system, commonly occurring as an accessory or diagenetic mineral in various sedimentary, igneous, and metamorphic rocks."
dolomudstone,Sedimentary Rock,"The NLD defines dolomudstone as a 'carbonate rock', which is a specific type of Sedimentary Rock.",ROCHA,"A dolomudstone is a carbonate rock that is composed of more than 50% dolomite and contains less than 10% allochems, exhibiting a mud-supported texture."
siltite,Sedimentary Rock,The NLD explicitly defines siltite as a 'sedimentary rock' composed of silt-sized particles.,ROCHA,Siltite is a sedimentary rock that is primarily composed of silt-sized particles. These clastic grains have diameters ranging from 1/256 mm to 1/16 mm (4 to 8 phi units) and are intermediate in size between sand and clay. It forms from the lithification of silt.
travertines,Sedimentary Rock,"The NLD explicitly defines travertine as a 'terrestrial carbonate rock', which directly aligns with the definition of Sedimentary Rock.",ROCHA,"Travertine is a terrestrial carbonate rock that forms by the rapid precipitation of calcium carbonate minerals (calcite and/or aragonite) from supersaturated freshwaters, typically associated with springs, rivers, or lakes."
rudstones,Sedimentary Rock,"The NLD defines rudstone as a 'carbonate rock' that is grain-supported, which directly aligns with the definition of Sedimentary Rock as a rock constituted by sedimentary grains or particles.",ROCHA,A rudstone is a carbonate rock that is grain-supported and contains more than 50% of grains larger than 2 mm in diameter.
Cretaceous,Geological Time Interval,"The NLD defines Cretaceous as a 'geological period spanning from approximately 145 to 66 million years ago,' which directly matches the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Cretaceous is a chronostratigraphic unit that represents a geological period spanning from approximately 145 to 66 million years ago, marking the final period of the Mesozoic Era. It is characterized by significant global tectonic activity, including the rifting and opening of the South Atlantic Ocean. This period is crucial for the deposition of syn-rift and post-rift carbonate and evaporite sequences, which host the prolific Pre-Salt reservoirs of Brazil."
Mesozoic,Geological Time Interval,"The NLD defines Mesozoic as a 'geological era that spans from approximately 252 to 66 million years ago,' which directly matches the definition of a Geological Time Interval as a temporal region.",UNIDADE_CRONO,"The Mesozoic is a geological era that spans from approximately 252 to 66 million years ago, encompassing the Triassic, Jurassic, and Cretaceous periods, and is critical for the development of the South Atlantic rift system and the deposition of Pre-Salt lacustrine carbonates."
peloids,Geological Object,"Peloids are described as individual 'carbonate grains' that are rigid, have their own identity, and are formed by geological processes, fitting the definition of a Geological Object.",FOSSEIS | NAO_CONSOLID,"Peloids are carbonate grains that are typically small, ovoid to spherical, and composed of micrite, commonly representing fecal pellets or micritized bioclasts found within unconsolidated carbonate sediments."
Proterozoic,Geological Time Interval,"The NLD defines Proterozoic as an eon that spans a specific period of Earth's history, which directly aligns with the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Proterozoic is an eon that spans Earth's history from approximately 2.5 billion to 541 million years ago, characterized by the significant oxygenation of the atmosphere, the emergence of complex eukaryotic life, and the formation of early supercontinents."
shell,Geological Object,"The NLD describes a rigid entity of biological origin that is commonly preserved as a fossil, fitting the criteria of a geological object generated by geological processes (fossilization).",FOSSEIS,"A shell is a hard, external covering or skeletal remains that was secreted by an invertebrate animal, such as a mollusk or brachiopod, and is commonly preserved as a fossil in sedimentary rocks."
barite,Geological Object,"The NLD describes barite as a mineral, and 'a crystal' is explicitly listed as an example of a Geological Object in the GeoCore ontology.",MINERAIS,"Barite is a mineral that is composed of barium sulfate (BaSO4) and is characterized by its high specific gravity, typically around 4.5."
magnesite,Geological Object,"Magnesite is defined as a mineral, which is a rigid entity (crystal) generated by geological processes, aligning with the definition of a Geological Object.",MINERAIS,"Magnesite is a mineral that is a trigonal magnesium carbonate (MgCO3), belonging to the calcite group, which commonly occurs as an alteration product of magnesium-rich rocks or in hydrothermal veins."
Campo de Búzios,site,The term describes a specific three-dimensional region (a field) whose boundaries are determined by the presence and accumulation of oil and gas within geological reservoirs.,CAMPO,"Campo de Búzios is an ultra-deepwater oil and gas field that is located in the Santos Basin, offshore Brazil, and is characterized by its large volumes of light oil accumulated in fractured carbonate reservoirs of the Pre-Salt section."
chalcedony,Geological Object,"Chalcedony is described as a form of silica and a mineral, which are rigid entities that provide their own identity, fitting the definition of a Geological Object.",MINERAIS | ROCHA,"Chalcedony is a cryptocrystalline form of silica that consists of very fine intergrowths of quartz and moganite, commonly occurring as a diagenetic cement or replacement mineral in sedimentary rocks."
neoproterozoic,Geological Time Interval,"The NLD describes Neoproterozoic as a 'geological eon... spanning from 1,000 to 538.8 million years ago,' which directly matches the definition of a Geological Time Interval as a temporal region.",UNIDADE_CRONO,"Neoproterozoic is a geological eon that represents the youngest subdivision of the Proterozoic Eon, spanning from 1,000 to 538.8 million years ago. It is characterized by significant global glaciations, the breakup of the supercontinent Rodinia, and the emergence of the first complex multicellular life."
feldspar,Geological Object,"The NLD describes feldspar as a 'group of tectosilicate minerals,' and a mineral crystal is explicitly given as an example of a Geological Object.",MINERAIS,"Feldspar is a group of tectosilicate minerals that are characterized by the presence of aluminum, silicon, and oxygen, combined with varying amounts of potassium, sodium, or calcium, and are the most abundant minerals in the Earth's crust, forming essential components of igneous, metamorphic, and many sedimentary rocks."
crack,Geological Structure,"The NLD describes a crack as a 'discontinuity within a rock body,' which aligns with 'Geological Structure' as an entity that 'describes the internal arrangement of a Geological Object.'",ESTRUTURA_FISICA,"A crack is a fracture that is a planar or curvilinear discontinuity within a rock body, characterized by minor or no discernible displacement, often formed by tensile stress."
Miocene,Geological Time Interval,"The NLD describes the Miocene as a geological epoch spanning a specific time range, which directly matches the definition of a Geological Time Interval as a temporal region within global geological time.",UNIDADE_CRONO,"The Miocene is a geological epoch that represents the first epoch of the Neogene Period and the fourth epoch of the Cenozoic Era. It spans from approximately 23.03 to 5.333 million years ago, characterized by significant global cooling and the diversification of mammals."
water,Earth Fluid,"The NLD describes water as a fluid found in the Earth's subsurface, and 'Earth Fluid' is defined as an Earth Material representing a volume of fluid, explicitly listing water as an example.",FLUIDODATERRA,"Water is a fluid that is a chemical compound of hydrogen and oxygen (H2O), ubiquitous in the Earth's subsurface as formation water, connate water, or meteoric water, often coexisting with hydrocarbons in porous and permeable rock formations."
smectite,Geological Object,"Smectite is a clay mineral, and GeoCore defines a Geological Object as a rigid entity that includes examples like a crystal.",ROCHA,"Smectite is a clay mineral that belongs to the 2:1 phyllosilicate group, characterized by its expandable lattice structure due to interlayer water and cations, which significantly influences the physical properties and diagenetic evolution of sedimentary rocks, particularly affecting reservoir quality in carbonate and siliciclastic systems."
intraclastic,Geological Object,"The NLD defines 'An intraclastic fossil is a fossil...', and a fossil is a type of Geological Object.",FOSSEIS,"An intraclastic fossil is a fossil that is preserved within a fragment of penecontemporaneous sediment, which has been reworked within the same depositional basin."
clay,Sediment,"The NLD explicitly defines clay as an 'unconsolidated sediment' composed of fine-grained mineral particles, which directly matches the definition of Sediment.",NAO_CONSOLID,"Clay is an unconsolidated sediment that is primarily composed of fine-grained mineral particles, typically less than 4 micrometers in diameter. It commonly consists of hydrous aluminum phyllosilicates and other fine-grained minerals, exhibiting plasticity when wet."
Paleoproterozoic,Geological Time Interval,"The term describes a geological era that spans a specific time range, which directly matches the definition of a Geological Time Interval as a temporal region within global geological time.",UNIDADE_CRONO,"Paleoproterozoic is a geological era that spans from 2500 to 1600 million years ago, representing the earliest part of the Proterozoic Eon."
bioclasts,Geological Object,"Bioclasts are rigid, identifiable skeletal fragments derived from organisms, which are material entities generated by processes and thus fit the definition of a Geological Object.",FOSSEIS,"Bioclasts are skeletal fragments that are derived from the remains of organisms and form a significant component of many sedimentary rocks, particularly carbonates."
lacustrine,spatiotemporal region,"The NLD describes a 'paleoenvironment' as a 'setting' where 'depositional conditions' and 'sedimentation occur', indicating a region that exists in both space and time.",PALEOAMBIENTE,"A lacustrine paleoenvironment is a paleoenvironment that is characterized by depositional conditions within a lake, typically exhibiting restricted circulation, variable salinity (often hypersaline to brackish), and alkaline waters. It is a setting where microbial carbonate precipitation, evaporite deposition, and clastic sedimentation occur, forming key reservoir and source rocks in the Brazilian Pre-Salt."
fissure,Geological Structure,"The NLD defines a fissure as a 'geological fracture' and an 'opening or crack within a rock body,' which aligns with Geological Structure describing the internal arrangement of a Geological Object.",ESTRUTURA_FISICA,"A fissure is a geological fracture that represents a narrow, often elongated opening or crack within a rock body. It typically forms due to tensional stress or dissolution processes, enhancing secondary porosity and permeability, particularly in carbonate reservoirs."
cementstone,Sedimentary Rock,"The NLD defines cementstone as a fine-grained, argillaceous limestone, which is a type of consolidated Earth Material formed from sedimentary processes.",ROCHA,"Cementstone is a fine-grained, argillaceous limestone that is characterized by a high content of clay minerals and often exhibits a dark color."
packstones,Sedimentary Rock,"The NLD defines packstone as a 'carbonate rock' with a 'grain-supported fabric,' directly matching the definition of a Sedimentary Rock.",ROCHA,"A packstone is a carbonate rock that is characterized by a grain-supported fabric where the grains are in contact, and the intergranular space is filled with more than 10% micrite (carbonate mud)."
