Corrected_Term,NLD,Original_Label
dolostone,"Dolostone is a sedimentary carbonate rock that is predominantly composed of the mineral dolomite (CaMg(CO3)2), typically containing more than 50% dolomite by weight.",ROCHA
gastropod,"A gastropod is a mollusk that is characterized by a distinct head, a ventral muscular foot, and typically a single, spirally coiled shell, whose fossilized remains are common in marine and freshwater sedimentary successions.",FOSSEIS
lacustrine,"A lacustrine paleoenvironment is a paleoenvironment that is characterized by depositional conditions within a lake, typically exhibiting restricted circulation, variable salinity (often hypersaline to brackish), and alkaline waters. It is a setting where microbial carbonate precipitation, evaporite deposition, and clastic sedimentation occur, forming key reservoir and source rocks in the Brazilian Pre-Salt.",PALEOAMBIENTE
continental,"A continental paleoenvironment is a paleoenvironment that is characterized by depositional settings and processes occurring on land, away from direct marine influence, typically involving fluvial, lacustrine, or eolian systems.",PALEOAMBIENTE
dolomite,"Dolomite is a carbonate mineral that is composed of calcium magnesium carbonate (CaMg(CO₃)₂), crystallizes in the trigonal system, and is a common constituent of sedimentary rocks. It is also the predominant mineral forming the sedimentary rock known as dolostone (or dolomite rock), which is a significant reservoir rock in many oil and gas plays.",MINERAIS | ROCHA
falha,"Uma falha é uma estrutura geológica que representa uma fratura ou zona de fraturas em rochas, formada por esforços tectônicos que causam deslocamento significativo de blocos rochosos. Em reservatórios carbonáticos do Pré-Sal, falhas podem atuar como barreiras de fluxo, caminhos de migração de fluidos ou zonas de acumulação, impactando a compartimentação e a produtividade.",ESTRUTURA_FISICA
packstone,"A packstone is a carbonate rock that is characterized by a grain-supported texture, where the grains are in contact, and the rock contains more than 10% micrite (mud matrix).",ROCHA
bacia de santos,"A Bacia de Santos is a large offshore sedimentary basin that extends along the southeastern Brazilian continental margin, from the state of Rio de Janeiro to Santa Catarina, and is a major petroleum province characterized by thick evaporite sequences and highly productive Pre-Salt carbonate reservoirs formed in lacustrine and marine environments.",BACIA
claystone,"A claystone is a sedimentary rock that is predominantly composed of clay-sized particles (less than 1/256 mm) and clay minerals, and is characterized by its non-fissile nature.",ROCHA
peloid,"A peloid is a carbonate grain that is typically sand to silt-sized, rounded to ovoid, and lacks distinctive internal structure, often originating as a fecal pellet or through micritization within unconsolidated sediments.",FOSSEIS | NAO_CONSOLID
mollusk,"A mollusk is an invertebrate animal that belongs to the phylum Mollusca, characterized by a soft, unsegmented body, typically enclosed in a calcareous shell, and is commonly preserved as a fossil in sedimentary rocks, providing valuable data for biostratigraphy and paleoenvironmental reconstruction in geological studies.",FOSSEIS
conglomerate,"A conglomerate is a clastic sedimentary rock that is characterized by rounded to sub-rounded clasts larger than 2 mm (gravel-sized) set within a finer-grained matrix of sand, silt, or clay, and cemented together.",ROCHA
siltstone,"Siltstone is a clastic sedimentary rock that is predominantly composed of silt-sized particles, which are finer than sand but coarser than clay.",ROCHA
laminite,"A laminite is a sedimentary rock that is characterized by fine, parallel layering (laminae) typically less than a few millimeters thick. These laminae commonly result from rhythmic deposition in low-energy, anoxic, or hypersaline environments. They are often formed by microbial mats in Pre-Salt carbonate systems due to the absence of bioturbation.",ROCHA
boundstone,"Boundstone is a carbonate rock that consists of original components that were bound together *in situ* during deposition, typically by the growth of sessile organisms.",ROCHA
talc,"Talc is a mineral that is a hydrous magnesium silicate with the chemical formula Mg3Si4O10(OH)2. It is characterized by its extreme softness (Mohs hardness of 1), a greasy feel, and a typically platy habit. It commonly forms as an alteration product of magnesium-rich silicates, such as olivine and pyroxene, in metamorphic rocks.",MINERAIS
Maastrichtian,"Maastrichtian is a chronostratigraphic stage that represents the uppermost division of the Late Cretaceous epoch, spanning from approximately 72.1 to 66.0 million years ago and immediately preceding the Paleocene Danian stage.",UNIDADE_CRONO
calcite,"Calcite is a mineral that is a calcium carbonate (CaCO3), crystallizing in the trigonal system and serving as the primary constituent of limestones, marbles, and other carbonate rocks.",MINERAIS
campos,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, characterized by its significant Pre-Salt carbonate reservoirs and being a major oil and gas producing province.",BACIA
quartz,"Quartz is a silicate mineral that is composed of silicon and oxygen atoms, forming a continuous framework of SiO4 tetrahedra with a chemical formula of SiO2, and is one of the most abundant minerals in the Earth's crust, characterized by its hardness and resistance to weathering.",MINERAIS
Campos Basin,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, formed during the Mesozoic rifting and Cenozoic sag phases of the South Atlantic opening. It is a prolific hydrocarbon province, hosting significant oil and gas accumulations in both post-salt turbidites and pre-salt carbonate reservoirs.",BACIA
carbonates,"Carbonates are sedimentary rocks that are primarily composed of carbonate minerals, such as calcite (CaCO3) and dolomite (CaMg(CO3)2), and are crucial reservoir rocks in the Brazilian Pre-Salt, often exhibiting complex diagenetic overprints.",ROCHA
Barra Velha,"**Barra Velha (CAMPO):** The Barra Velha Field is an oil and gas field that is located in the Santos Basin, offshore Brazil, within the Pre-Salt play, and is characterized by its highly productive carbonate reservoirs.

**Barra Velha (UNIDADE_LITO):** The Barra Velha Formation is a lithostratigraphic unit that comprises the main reservoir rocks of the Brazilian Pre-Salt play, consisting predominantly of lacustrine microbial carbonates (stromatolites and thrombolites) deposited during the Aptian in the Santos and Campos Basins.",CAMPO | UNIDADE_LITO
Bacia de Santos,"Bacia de Santos is a sedimentary basin that is located offshore southeastern Brazil, extending from the state of Rio de Janeiro to Santa Catarina, and is a major petroleum province characterized by prolific Pre-Salt carbonate reservoirs sealed by a thick evaporite layer.",BACIA
Barremian,"Barremian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, spanning from approximately 129.4 to 125.0 million years ago. It is preceded by the Hauterivian and succeeded by the Aptian stages.",UNIDADE_CRONO
carbonates,"Carbonates are a type of sedimentary rock that is predominantly composed of carbonate minerals, such as calcite (CaCO3) and dolomite (CaMg(CO3)2), and typically forms through biogenic processes or chemical precipitation from aqueous solutions.",ROCHA
pre-Alagoas,"Pre-Alagoas is a chronostratigraphic unit that represents the time interval preceding the Alagoas Stage of the Early Cretaceous. In the context of the Brazilian Pre-Salt, this unit encompasses the syn-rift and early post-rift depositional phases, including the basal lacustrine and evaporitic successions. It marks the initial rifting and early basin development of the South Atlantic margin.",UNIDADE_CRONO
grainstones,"Grainstones are a type of carbonate rock that is characterized by being grain-supported and containing less than 10% micrite (carbonate mud). They are predominantly composed of carbonate grains (allochems) such as ooids, peloids, bioclasts, and intraclasts, typically deposited in high-energy environments.",ROCHA
quartz,"Quartz is a mineral that is composed of silicon dioxide (SiO2) and crystallizes in the trigonal system. It is one of the most abundant minerals in the Earth's crust, characterized by a vitreous luster and a hardness of 7 on the Mohs scale.",MINERAIS
limestone,"Limestone is a sedimentary rock that is primarily composed of calcium carbonate (CaCO3), typically formed from the accumulation of skeletal fragments of marine organisms or by chemical precipitation.",ROCHA
laminations,"A lamination is a primary sedimentary structure that consists of very thin, parallel or sub-parallel layers within a rock, typically less than 1 cm thick, reflecting subtle variations in sediment composition, grain size, or depositional conditions.",ESTRUTURA_FISICA
mudstones,Mudstones are a type of fine-grained clastic sedimentary rock that is composed predominantly of clay and silt-sized particles and lacks the fissility characteristic of shales.,ROCHA
micrite,"Micrite is a microcrystalline calcium carbonate that constitutes the fine-grained matrix of many limestones, composed of calcite or aragonite crystals typically less than 4 micrometers in diameter.",MINERAIS
alluvial,"An alluvial paleoenvironment is a terrestrial depositional setting that is characterized by the accumulation of clastic sediments transported and deposited by flowing water, such as rivers, streams, and associated floodplains, often forming fan-shaped deposits at the base of uplands.",PALEOAMBIENTE
grainstones,"Grainstones are a type of carbonate rock that is characterized by being grain-supported, lacking micritic mud, and having intergranular pore spaces filled with sparry calcite cement or remaining as open pores.",ROCHA
packstones,"Packstones are a type of carbonate rock that is grain-supported, where the framework of grains is in contact, but contains a significant proportion of mud matrix (typically greater than 10%).",ROCHA
halite,"Halite is an evaporite rock that is primarily composed of the mineral sodium chloride (NaCl), typically forming extensive bedded deposits.",ROCHA
rudstones,"A rudstone is a carbonate rock that exhibits a grain-supported fabric, where at least 10% of the rock volume consists of grains larger than 2 mm in diameter.",ROCHA
sandstones,"Sandstones are a clastic sedimentary rock that is primarily composed of sand-sized (0.0625 to 2 mm) mineral grains or rock fragments, typically quartz, feldspar, or lithic fragments, cemented by a matrix of finer material or chemical precipitates, and formed through the lithification of sand in various depositional environments.",ROCHA
pyrite,"Pyrite is a mineral that is an iron disulfide (FeS2) characterized by its brass-yellow color, metallic luster, and cubic crystal system, commonly occurring as an accessory or diagenetic mineral in various sedimentary, igneous, and metamorphic rocks.",MINERAIS | ROCHA
dolomudstone,"A dolomudstone is a carbonate rock that is composed of more than 50% dolomite and contains less than 10% allochems, exhibiting a mud-supported texture.",ROCHA
siltite,Siltite is a sedimentary rock that is primarily composed of silt-sized particles. These clastic grains have diameters ranging from 1/256 mm to 1/16 mm (4 to 8 phi units) and are intermediate in size between sand and clay. It forms from the lithification of silt.,ROCHA
travertines,"Travertine is a terrestrial carbonate rock that forms by the rapid precipitation of calcium carbonate minerals (calcite and/or aragonite) from supersaturated freshwaters, typically associated with springs, rivers, or lakes.",ROCHA
rudstones,A rudstone is a carbonate rock that is grain-supported and contains more than 50% of grains larger than 2 mm in diameter.,ROCHA
Cretaceous,"The Cretaceous is a chronostratigraphic unit that represents a geological period spanning from approximately 145 to 66 million years ago, marking the final period of the Mesozoic Era. It is characterized by significant global tectonic activity, including the rifting and opening of the South Atlantic Ocean. This period is crucial for the deposition of syn-rift and post-rift carbonate and evaporite sequences, which host the prolific Pre-Salt reservoirs of Brazil.",UNIDADE_CRONO
Mesozoic,"The Mesozoic is a geological era that spans from approximately 252 to 66 million years ago, encompassing the Triassic, Jurassic, and Cretaceous periods, and is critical for the development of the South Atlantic rift system and the deposition of Pre-Salt lacustrine carbonates.",UNIDADE_CRONO
peloids,"Peloids are carbonate grains that are typically small, ovoid to spherical, and composed of micrite, commonly representing fecal pellets or micritized bioclasts found within unconsolidated carbonate sediments.",FOSSEIS | NAO_CONSOLID
Proterozoic,"The Proterozoic is an eon that spans Earth's history from approximately 2.5 billion to 541 million years ago, characterized by the significant oxygenation of the atmosphere, the emergence of complex eukaryotic life, and the formation of early supercontinents.",UNIDADE_CRONO
shell,"A shell is a hard, external covering or skeletal remains that was secreted by an invertebrate animal, such as a mollusk or brachiopod, and is commonly preserved as a fossil in sedimentary rocks.",FOSSEIS
barite,"Barite is a mineral that is composed of barium sulfate (BaSO4) and is characterized by its high specific gravity, typically around 4.5.",MINERAIS
magnesite,"Magnesite is a mineral that is a trigonal magnesium carbonate (MgCO3), belonging to the calcite group, which commonly occurs as an alteration product of magnesium-rich rocks or in hydrothermal veins.",MINERAIS
Campo de Búzios,"Campo de Búzios is an ultra-deepwater oil and gas field that is located in the Santos Basin, offshore Brazil, and is characterized by its large volumes of light oil accumulated in fractured carbonate reservoirs of the Pre-Salt section.",CAMPO
chalcedony,"Chalcedony is a cryptocrystalline form of silica that consists of very fine intergrowths of quartz and moganite, commonly occurring as a diagenetic cement or replacement mineral in sedimentary rocks.",MINERAIS | ROCHA
neoproterozoic,"Neoproterozoic is a geological eon that represents the youngest subdivision of the Proterozoic Eon, spanning from 1,000 to 538.8 million years ago. It is characterized by significant global glaciations, the breakup of the supercontinent Rodinia, and the emergence of the first complex multicellular life.",UNIDADE_CRONO
feldspar,"Feldspar is a group of tectosilicate minerals that are characterized by the presence of aluminum, silicon, and oxygen, combined with varying amounts of potassium, sodium, or calcium, and are the most abundant minerals in the Earth's crust, forming essential components of igneous, metamorphic, and many sedimentary rocks.",MINERAIS
crack,"A crack is a fracture that is a planar or curvilinear discontinuity within a rock body, characterized by minor or no discernible displacement, often formed by tensile stress.",ESTRUTURA_FISICA
Miocene,"The Miocene is a geological epoch that represents the first epoch of the Neogene Period and the fourth epoch of the Cenozoic Era. It spans from approximately 23.03 to 5.333 million years ago, characterized by significant global cooling and the diversification of mammals.",UNIDADE_CRONO
water,"Water is a fluid that is a chemical compound of hydrogen and oxygen (H2O), ubiquitous in the Earth's subsurface as formation water, connate water, or meteoric water, often coexisting with hydrocarbons in porous and permeable rock formations.",FLUIDODATERRA
smectite,"Smectite is a clay mineral that belongs to the 2:1 phyllosilicate group, characterized by its expandable lattice structure due to interlayer water and cations, which significantly influences the physical properties and diagenetic evolution of sedimentary rocks, particularly affecting reservoir quality in carbonate and siliciclastic systems.",ROCHA
intraclastic,"An intraclastic fossil is a fossil that is preserved within a fragment of penecontemporaneous sediment, which has been reworked within the same depositional basin.",FOSSEIS
clay,"Clay is an unconsolidated sediment that is primarily composed of fine-grained mineral particles, typically less than 4 micrometers in diameter. It commonly consists of hydrous aluminum phyllosilicates and other fine-grained minerals, exhibiting plasticity when wet.",NAO_CONSOLID
Paleoproterozoic,"Paleoproterozoic is a geological era that spans from 2500 to 1600 million years ago, representing the earliest part of the Proterozoic Eon.",UNIDADE_CRONO
bioclasts,"Bioclasts are skeletal fragments that are derived from the remains of organisms and form a significant component of many sedimentary rocks, particularly carbonates.",FOSSEIS
lacustrine,"A lacustrine paleoenvironment is a paleoenvironment that is characterized by depositional conditions within a lake, typically exhibiting restricted circulation, variable salinity (often hypersaline to brackish), and alkaline waters. It is a setting where microbial carbonate precipitation, evaporite deposition, and clastic sedimentation occur, forming key reservoir and source rocks in the Brazilian Pre-Salt.",PALEOAMBIENTE
fissure,"A fissure is a geological fracture that represents a narrow, often elongated opening or crack within a rock body. It typically forms due to tensional stress or dissolution processes, enhancing secondary porosity and permeability, particularly in carbonate reservoirs.",ESTRUTURA_FISICA
cementstone,"Cementstone is a fine-grained, argillaceous limestone that is characterized by a high content of clay minerals and often exhibits a dark color.",ROCHA
packstones,"A packstone is a carbonate rock that is characterized by a grain-supported fabric where the grains are in contact, and the intergranular space is filled with more than 10% micrite (carbonate mud).",ROCHA
3-brsa-1053-rj,"3-brsa-1053-rj is an exploration well that was drilled by Petrobras in the offshore Rio de Janeiro basin, primarily to investigate the presence and characteristics of hydrocarbon reservoirs.",POÇO
mica,"Mica is a group of common rock-forming sheet silicate minerals that are characterized by a perfect basal cleavage, allowing them to split into thin, flexible, and elastic laminae.",MINERAIS
breccia,"A breccia is a clastic rock that is characterized by angular to sub-angular fragments, typically larger than 2 mm, set within a finer-grained matrix.",MINERAIS | ROCHA
scar,"A scar is a physical structure that is a depression or collapse feature on a geological surface, resulting from processes such as dissolution of underlying soluble strata (e.g., carbonates or evaporites) and subsequent subsidence or collapse.",ESTRUTURA_FISICA
arenites,Arenites are clastic sedimentary rocks that are characterized by a grain size predominantly within the sand range (0.0625 to 2 mm).,ROCHA
calcrete,"Calcrete is a terrestrial sedimentary rock that forms by the pedogenic precipitation and cementation of calcium carbonate within soil or regolith, typically in arid to semi-arid environments.",ROCHA
ripple,"A ripple is a sedimentary structure that forms on a sediment surface due to the interaction of fluid flow (water or wind) with the sediment, characterized by a series of small, undulatory ridges and troughs.",ESTRUTURA_FISICA
carbonate mound,"A carbonate mound is a sedimentary rock body that is composed predominantly of carbonate minerals and forms a positive topographic relief feature on the depositional surface, often built by in-situ biological activity (e.g., microbialites) or chemical precipitation.",ROCHA
fold,"A fold is a geological structure that results from the ductile deformation of rock layers, characterized by the bending or curving of originally planar surfaces such as bedding planes, typically caused by compressional tectonic stresses.",ESTRUTURA_FISICA
chert,"Chert is a type of rock that is a very hard, dense, microcrystalline sedimentary rock composed of silica (SiO2). It commonly occurs as nodules or layers within carbonate rocks, shales, or evaporites, and can be of biogenic (e.g., from radiolarians or diatoms) or chemical origin.",ROCHA
scarp,"A scarp is a steep slope or cliff that is formed by erosional processes or tectonic faulting, often marking the abrupt termination of a geomorphic surface or structural block.",ESTRUTURA_FISICA
failure,"A failure is a geological structure that represents a zone within a rock mass where the material has lost its cohesive strength due to applied stress. This loss of strength results in permanent deformation, manifesting as fractures, faults, or shear zones. Such structures are critical in Pre-Salt carbonate reservoirs for understanding compartmentalization and fluid flow.",ESTRUTURA_FISICA
tufa,"Tufa is a porous carbonate rock that forms by the precipitation of calcium carbonate from ambient temperature freshwater, typically in springs, lakes, or rivers, often exhibiting a spongy or vesicular texture.",ROCHA
calcarenites,"Calcarenites are a type of limestone that is characterized by a clastic texture and composed predominantly of sand-sized (0.0625 to 2 mm) carbonate grains, such as bioclasts, ooids, peloids, or intraclasts.",ROCHA
floatstone,"A floatstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm, which are supported by a finer-grained matrix.",ROCHA
calcilutite,Calcilutite is a carbonate rock that is primarily composed of silt- and clay-sized (less than 63 micrometers) carbonate particles.,ROCHA
pelecypod,"A pelecypod is a bivalve mollusk that possesses a shell composed of two hinged valves, typically symmetrical, and is characterized by a filter-feeding lifestyle.",FOSSEIS
transitional,"A transitional paleoenvironment is a paleoenvironment that represents an intermediate depositional setting between continental and fully marine conditions. It is characterized by fluctuating energy levels, variable salinity, and mixed sedimentary facies, reflecting the influence of both terrestrial and marine processes.",PALEOAMBIENTE
calcirudite,A calcirudite is a carbonate rock that is characterized by having more than 50% of its framework composed of gravel-sized (greater than 2 mm) carbonate clasts.,MINERAIS | ROCHA
spherulite,"A spherulite is a spherical textural component within a rock that consists of a radiating aggregate of acicular or fibrous crystals, typically formed by rapid crystallization of minerals such as silica or carbonate.",ROCHA
Bacia Sergipe-Alagoas,"The Bacia Sergipe-Alagoas is a sedimentary basin that is located on the northeastern Brazilian continental margin, formed during the Mesozoic rifting of Gondwana. It contains significant hydrocarbon accumulations in both pre-salt and post-salt plays, extending across onshore and offshore areas.",BACIA
travertine,"Travertine is a terrestrial carbonate rock that forms by the rapid precipitation of calcium carbonate minerals, primarily calcite, from supersaturated meteoric waters at ambient or elevated temperatures, often exhibiting distinctive layered, porous, or banded textures.",ROCHA
Neoaptian,"Neoaptian is a chronostratigraphic unit that represents the later interval of the Aptian Age, encompassing the Upper Aptian (Gargasian) and often the uppermost Lower Aptian. This interval is particularly significant in the Brazilian Pre-Salt, where it corresponds to the deposition of major carbonate reservoir successions.",UNIDADE_CRONO
Neoproterozoic,"The Neoproterozoic is a geological eon that constitutes the third and final subdivision of the Proterozoic Eon, spanning from approximately 1,000 to 538.8 million years ago. It is characterized by significant global glaciations and the emergence of early multicellular life forms.",UNIDADE_CRONO
Aptian,"Aptian is a chronostratigraphic unit that encompasses the rock succession deposited during the Aptian Age, representing a subdivision of the Lower Cretaceous Series.",UNIDADE_CRONO
calcite,"Calcite is a mineral that is a calcium carbonate (CaCO3), crystallizing in the trigonal system and serving as the primary constituent of limestones, marbles, and other carbonate rocks.",MINERAIS
Campos Basin,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil, formed during the Mesozoic rifting and Cenozoic sag phases of the South Atlantic opening. It is a prolific hydrocarbon province, hosting significant oil and gas accumulations in both post-salt turbidites and pre-salt carbonate reservoirs.",BACIA
lakes,"Lakes are a paleoenvironment that represents ancient, standing bodies of water, typically freshwater to hypersaline, where characteristic lacustrine sediments such as carbonates, shales, and evaporites accumulated.",PALEOAMBIENTE
dolomite,"Dolomite is a mineral that is a calcium magnesium carbonate with the chemical formula CaMg(CO3)2. It crystallizes in the trigonal system and is a common rock-forming mineral, particularly in sedimentary rocks where it often forms through the diagenetic alteration of limestone.",MINERAIS
calcite,"Calcite is a mineral that is a calcium carbonate (CaCO3), crystallizing in the trigonal system and serving as the primary constituent of limestones, marbles, and other carbonate rocks.",MINERAIS
Precambrian,"The Precambrian is a geological supereon that represents the earliest and longest interval of Earth's history, spanning from the planet's formation approximately 4.6 billion years ago to the beginning of the Cambrian Period about 541 million years ago.",UNIDADE_CRONO
faulting,Faulting is a geological structure that consists of a brittle fracture or a zone of fractures in rock along which there has been observable relative displacement of the rock masses on opposite sides.,ESTRUTURA_FISICA
dolomite,"Dolomite is a mineral that is a calcium magnesium carbonate with the chemical formula CaMg(CO₃)₂. It is a common rock-forming mineral, often forming through diagenetic alteration of limestone (dolomitization), and is a primary constituent of dolostone, playing a crucial role in the porosity evolution of carbonate reservoirs.",MINERAIS
CO2,"CO2 is a fluid of the Earth that is a naturally occurring gas found in subsurface geological formations. It is often associated with hydrocarbon systems as a non-hydrocarbon component of reservoir fluids, particularly in the Brazilian Pre-Salt carbonate reservoirs.",FLUIDODATERRA
Albian,"Albian is a chronostratigraphic stage that constitutes the youngest subdivision of the Lower Cretaceous Series, spanning approximately 113.0 to 100.5 million years ago.",UNIDADE_CRONO
intra-Alagoas,"Intra-Alagoas is a chronostratigraphic interval that occurs within the Alagoas Stage, representing a specific period of geological time during which significant carbonate deposition occurred in the Brazilian Pre-Salt basins.",UNIDADE_CRONO
Santos,"The Santos Basin is a sedimentary basin that is located offshore Brazil, extending along the southeastern continental margin from the state of Rio de Janeiro to Santa Catarina. It is a prolific petroleum province, characterized by significant hydrocarbon accumulations within its Pre-Salt carbonate reservoirs.",BACIA
pellets,"Pellets are a type of allochem that consists of small, rounded carbonate grains, typically sand-sized, lacking internal structure, and commonly formed by biological processes (e.g., fecal pellets) or micritization of other grains.",BACIA
grainstone,"A grainstone is a carbonate rock that is characterized by a grain-supported fabric, composed predominantly of allochems (e.g., ooids, peloids, bioclasts, intraclasts), and contains less than 10% micrite (carbonate mud).",ROCHA
fluvial,"A fluvial paleoenvironment is a paleoenvironment that is characterized by depositional processes and landforms associated with rivers and their associated floodplains, typically occurring in continental settings.",PALEOAMBIENTE
lakes,"A lake is a paleoenvironment that represents an ancient, relatively large, standing body of water, typically freshwater or brackish, enclosed by land, that is characterized by lacustrine sedimentation, including microbialites and other carbonate precipitates, within a continental setting.",PALEOAMBIENTE
ooids,"Ooids are spherical or sub-spherical carbonate grains that are typically less than 2 mm in diameter, characterized by concentric accretionary layers around a nucleus, forming in agitated, shallow-water lacustrine or marine environments.",NAO_CONSOLID
pyrite,"Pyrite is an iron sulfide mineral that crystallizes in the cubic system, characterized by its metallic luster and brass-yellow color, often forming as a common accessory or diagenetic mineral in various geological settings, including carbonate reservoirs.",MINERAIS
andaraptiano,"The Andaraptian is a chronostratigraphic stage that represents a specific time interval within the Aptian Age, characterized by the onset of evaporite deposition and associated carbonate-siliciclastic sedimentation during the sag phase of the South Atlantic rifting in the Brazilian Pre-Salt basins.",UNIDADE_CRONO
quartz,"Quartz is a silicate mineral that is composed of silicon and oxygen atoms, forming a continuous framework of SiO4 tetrahedra with a chemical formula of SiO2, and is one of the most abundant minerals in the Earth's crust, characterized by its hardness and resistance to weathering.",MINERAIS
Bacia de Santos,"The Bacia de Santos is a sedimentary basin that is located offshore southeastern Brazil and is a major petroleum province. It formed during the Mesozoic rifting and opening of the South Atlantic Ocean, accumulating a thick succession of syn-rift, sag, and drift sediments. This basin is particularly renowned for hosting prolific Pre-Salt carbonate reservoirs, which are significant for hydrocarbon exploration and production.",BACIA
mudstone,A mudstone is a sedimentary rock that is composed predominantly of mud-sized particles (silt and clay) and lacks fissility.,ROCHA
ooids,"Ooids are spheroidal carbonate grains that are typically sand-sized, characterized by concentric laminae around a nucleus, and formed by physicochemical precipitation and accretion in agitated shallow marine environments.",NAO_CONSOLID
bacia de campos,"A Bacia de Campos is a sedimentary basin that is located offshore the southeastern coast of Brazil, representing one of the most prolific oil and gas provinces in the country. It is characterized by significant Pre-Salt carbonate and Post-Salt clastic reservoirs, formed during the rifting and opening of the South Atlantic Ocean.",BACIA
barremian-aptian,"The Barremian-Aptian is a chronostratigraphic unit that represents a specific geological time interval within the Early Cretaceous. It is particularly significant in the Brazilian Pre-Salt, encompassing the deposition of the main carbonate reservoir rocks. This period marks the transition from syn-rift to sag phases, characterized by widespread evaporite deposition in the Aptian.",UNIDADE_CRONO
mudstones,"Mudstones are fine-grained sedimentary rocks that are composed predominantly of clay and silt-sized particles, or carbonate mud (micrite), and lack fissility.",ROCHA
Espírito Santo,"The Espírito Santo Basin is a sedimentary basin that is located offshore the Brazilian states of Espírito Santo and southern Bahia, forming part of the Brazilian passive margin. It is characterized by a thick sedimentary infill, including significant Pre-Salt carbonate reservoirs, and is a prolific oil and gas province.",BACIA
mounds,"A mound is a carbonate structure that is a positive topographic feature, formed by the in-situ accumulation of carbonate material, often of microbial or biogenic origin, in lacustrine or marine environments.",ESTRUTURA_FISICA
Campos Basin,"The Campos Basin is a sedimentary basin that is located offshore southeastern Brazil and is a major petroleum province, characterized by significant Pre-Salt and Post-Salt hydrocarbon accumulations.",BACIA
